text,label
"Congratulations! You won 1 lakh rupees. Click here to claim",1
"Your bank account will be blocked. Update KYC immediately",1
"URGENT: Your ATM card is blocked. Call this number",1
"Dear customer, verify your account by clicking this link",1
"You have won a free iPhone. Claim now",1
"Your electricity bill is pending. Pay immediately to avoid disconnection",1
"Your parcel is stuck. Pay 50 rupees custom charge",1
"Get free recharge of 500 rupees. Click link",1
"Your account has been suspended. Login to verify",1
"Invest 1000 rupees and get 10000 rupees daily",1
"Hi, how are you? Let's meet tomorrow",0
"Your order has been shipped. Track here",0
"Meeting scheduled at 3 PM today",0
"Please find attached the report",0
"Happy birthday! Have a great day",0
"Your OTP is 456789. Do not share with anyone",0
"Your bill payment was successful",0
"Your appointment is confirmed for Monday",0
"Thanks for your purchase",0
"Let's have lunch tomorrow",0
